pitch_no,game_date,pa_of_inning,pitch_of_pa,pitcher,pitcher_id,pitcher_throws,batter_side,pitcher_set,inning,top_bottom,outs,balls,strikes,tagged_pitch_type,auto_pitch_type,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
85,7/8/2018,3,4,Player B,111112,Right,Left,Undefined,3,Bottom,2,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,95.04390694,-3.163927851,-2.465819588,2334.730692,200.3128451,12:45,6.145983503,2.981629689,6.435510136,-13.14857653,17.55117338,7.155605772,1.904794034,1.19628329,87.14406424,-5.886342865,-1.352117407,0.396135441,-3.91541578,9.567334974,-2.801452873,50,5.789013785,5.781364541,-138.6824763,-8.141627668,-7.607929139,31.67667389,-13.58404162
84,7/8/2018,3,3,Player B,111112,Right,Left,Undefined,3,Bottom,2,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.9261571,-3.599830584,-3.738986855,2381.805929,207.1169363,1:00,6.126798297,3.116551941,6.398371329,-13.33267669,18.41202826,9.851064715,1.460171225,0.375857774,85.58354893,-6.361939222,-2.113233391,0.402909817,-5.820746148,10.2306173,-2.840572657,50,5.734504861,8.662910653,-136.7692973,-9.091814919,-10.93134382,32.5683045,-12.96097993
83,7/8/2018,3,2,Player B,111112,Right,Left,Undefined,3,Bottom,2,1,0,Fastball,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,89.52300198,-1.714309354,-4.937748172,1770.097148,209.3862562,1:00,6.059757574,3.191912302,6.174462363,-23.4146139,11.26725411,6.683857098,2.291294637,-0.944676556,82.97299349,-6.320469428,-3.928359734,0.421368355,-4.180091522,5.606437257,-2.805056602,50,5.795838461,11.09719085,-130.4738926,-4.718986993,-7.264830153,25.34021923,-22.43028715
82,7/8/2018,3,1,Player B,111112,Right,Left,Undefined,3,Bottom,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.72517038,-1.904755014,-2.268142524,2455.886581,200.6695675,12:45,6.10859961,2.986280406,6.356010598,-12.47866214,18.63962338,7.679072654,3.085380946,1.42400599,86.18250521,-4.513557087,-1.052591212,0.398862594,-4.186117703,9.829506895,-2.81799939,50,5.842851159,5.268210825,-138.2948191,-5.052901749,-8.032938556,33.47388027,-13.3117445
81,7/8/2018,2,2,Player B,111112,Right,Left,Undefined,3,Bottom,1,0,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,93.74855295,-2.747314914,-3.881508239,2371.713097,192.0853399,12:30,6.077874326,3.028526607,6.447546307,-12.77006227,18.71061922,4.925663577,2.250887596,-0.251382328,86.22021358,-5.393878501,-3.193237844,0.40120897,-3.056977623,10.04858669,-2.742676991,50,5.752431809,9.158163822,-136.6999412,-7.024863009,-5.793364348,29.70319776,-13.13068906
80,7/8/2018,2,1,Player B,111112,Right,Left,Undefined,3,Bottom,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.29557764,-2.206183676,-3.009946437,2412.765244,192.1695753,12:30,6.211357455,3.099716057,6.431984002,-12.30771722,18.68215704,4.945637504,2.925140374,0.62710523,86.89447565,-4.766422242,-2.317830103,0.398027861,-2.803897068,9.856519788,-2.877800961,50,5.925841933,7.121406868,-137.6956203,-5.752609041,-5.405381871,29.39614714,-13.1725474
79,7/8/2018,1,5,Player B,111112,Right,Right,Undefined,3,Bottom,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.48845743,0.626414777,-1.398730673,2754.927349,48.43765717,7:30,6.205121871,2.569816758,6.080869748,-46.68608495,-4.855128018,-6.070141221,2.674134307,0.658824422,75.5968739,-8.330241117,-2.778993721,0.463232882,3.57756029,-3.705505586,-2.453113188,50,6.113302611,3.130175937,-119.1966511,-0.131182958,5.153272745,22.64982876,-37.51161925
78,7/8/2018,1,4,Player B,111112,Right,Right,Undefined,3,Bottom,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.92321115,-2.608859973,-4.148800183,2418.500743,198.8137249,12:45,6.06684888,2.997425943,6.353530593,-10.72068924,20.66788438,7.749628988,2.533777966,-0.301612467,86.56283149,-4.865823775,-2.932227317,0.400613909,-4.612742497,11.00696457,-2.686419852,50,5.748088755,9.721030944,-136.9377019,-6.6493904,-8.805608374,28.72629135,-11.16203251
77,7/8/2018,1,3,Player B,111112,Right,Right,Undefined,3,Bottom,0,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.08650399,-1.209448346,-3.767892652,2414.70243,209.7393624,1:00,6.053357047,3.1429429,6.315565884,-12.77449503,18.47030713,10.87533129,3.646210249,0.455362087,86.65102247,-3.856065321,-1.962915423,0.399683306,-6.203624896,9.429035392,-2.860080517,50,5.838904455,8.727322715,-137.3431139,-3.371429366,-11.91456413,28.85392969,-14.0648223
76,7/8/2018,1,2,Player B,111112,Right,Right,Undefined,3,Bottom,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.99579601,0.215624688,-2.904826946,2748.951025,36.36155117,7:15,6.148172512,2.954481932,5.866765975,-51.04708775,-7.402798872,-5.393618679,1.873286251,-0.311213411,74.78689926,-9.458437808,-4.147293512,0.473263193,2.806004418,-4.920482146,-2.705695057,50,6.018900416,6.136412475,-116.9145123,-1.159347563,3.906723765,20.82813194,-39.02470225
