player_code,year,tpa,sb,avg,slg,avg_exit_speed,hard_hit_perc
2202546,2014,479,1,0.256218905,0.385572139,89.22895054,0.38028169
2215146,2014,479,20,0.268867925,0.408018868,88.185393,0.380952381
2243046,2018,478,1,0.271662763,0.433255269,87.11816166,0.366946779
2193744,2018,478,15,0.317757009,0.539719626,88.50993537,0.38125
2279412,2018,478,4,0.20383693,0.268585132,84.00649825,0.180769231
2234892,2018,478,22,0.298245614,0.426065163,85.38906629,0.26911315
2602057,2012,476,1,0.248275862,0.349425287,,
2708248,2014,476,26,0.201438849,0.225419664,78.8942632,0
2809931,2016,476,8,0.285067873,0.366515837,86.46007489,0.087719298
2819223,2016,476,41,0.242352941,0.310588235,81.69141691,0.073359073
2201850,2015,476,8,0.270935961,0.57635468,91.84431733,0.466292135
2219598,2014,475,1,0.263888889,0.4375,88.08702618,0.380952381
2218566,2017,475,1,0.245939675,0.336426914,85.24164169,0.278688525
2189658,2014,474,2,0.286764706,0.426470588,88.7034726,0.26
619411,2010,473,2,0.263033175,0.469194313,,
2647666,2010,473,0,0.236238532,0.401376147,,
2869869,2015,473,19,0.219907407,0.31712963,83.66398851,0.115107914
2231940,2016,473,10,0.262068966,0.349425287,84.89969967,0.224924012
2825203,2014,472,1,0.245783133,0.346987952,87.15608714,0.294117647
2257644,2017,472,7,0.282608696,0.437198068,86.83479809,0.314641745
2236548,2014,472,37,0.257831325,0.395180723,83.17245309,0.222222222
2221152,2014,472,11,0.285,0.37,84.55158809,0.166666667
2624804,2010,470,8,0.248792271,0.396135266,,
2220804,2015,470,7,0.237762238,0.351981352,89.86649152,0.341772152
2261796,2016,470,13,0.274939173,0.425790754,88.06997837,0.324840764
2629680,2012,469,3,0.227699531,0.338028169,,
2273988,2017,469,7,0.23902439,0.324390244,85.04796685,0.25
2207364,2016,469,6,0.291079812,0.394366197,89.62511862,0.361204013
2192736,2016,469,8,0.253623188,0.420289855,86.82015552,0.314381271
2499546,2011,468,60,0.27294686,0.338164251,,
2178162,2014,468,0,0.304347826,0.548309179,85.11321624,0.287234043
2744105,2016,467,4,0.330296128,0.519362187,87.15062397,0.167701863
2191638,2017,466,1,0.264976959,0.5,88.31484792,0.356902357
2215182,2014,464,33,0.345864662,0.528822055,90.77117227,0.476190476
2238060,2016,464,8,0.328703704,0.532407407,89.78341141,0.41025641
2245290,2015,463,7,0.246786632,0.403598972,88.14678539,0.125
2249688,2015,463,13,0.250591017,0.333333333,85.23236411,0.214285714
1896969,2010,462,6,0.290167866,0.371702638,,
2233722,2016,462,1,0.283292978,0.409200969,89.17281346,0.384364821
2243088,2016,460,6,0.248192771,0.318072289,84.12497633,0.154385965
2677750,2012,459,6,0.300248139,0.406947891,,
2819223,2015,458,59,0.27804878,0.348780488,82.72650325,0
2254944,2016,458,23,0.247572816,0.308252427,85.316274,0.217687075
2869869,2016,456,16,0.255528256,0.366093366,86.66836772,0.189655172
2270424,2018,456,26,0.251256281,0.439698492,86.16140668,0.304635762
2769244,2013,454,25,0.302798982,0.442748092,,
2208240,2015,453,2,0.301980198,0.455445545,89.11544201,0.355555556
2237556,2017,453,0,0.281030445,0.421545667,87.51527941,0.304054054
2499546,2014,452,38,0.254854369,0.310679612,83.84245469,0
2683201,2011,452,6,0.230576441,0.413533835,,
2204658,2015,452,12,0.165024631,0.209359606,81.66834873,0.107142857
917537,2014,451,11,0.266490765,0.46701847,81.52056798,0.230769231
2247426,2016,451,4,0.253263708,0.477806789,92.73197145,0.466101695
2258460,2016,451,8,0.252380952,0.347619048,82.44132865,0.110062893
2874216,2016,450,8,0.305128205,0.5,90.14656785,0.299625468
2147766,2015,450,25,0.256281407,0.326633166,84.22540511,0.19047619
2647666,2012,449,0,0.257425743,0.398514851,,
2258274,2018,449,15,0.216836735,0.275510204,86.48537931,0.27027027
2256036,2017,449,11,0.250614251,0.346437346,85.99507087,0.330798479
2874262,2015,447,1,0.263959391,0.431472081,85.49934436,0.172043011
2203824,2014,447,4,0.227602906,0.324455206,79.73455561,0.105263158
2249880,2015,447,1,0.263959391,0.431472081,85.49934436,0.290322581
2242800,2017,447,15,0.295039164,0.446475196,85.78618304,0.280936455
2219652,2016,447,12,0.2325,0.345,87.92601697,0.370909091
2266674,2018,447,18,0.278061224,0.349489796,85.86489565,0.268115942
2611510,2014,445,31,0.267676768,0.378787879,83.579902,0.013888889
2822098,2016,445,22,0.251207729,0.304347826,85.71219047,0.095890411
2269806,2017,445,3,0.216,0.384,85.90785757,0.33203125
2237712,2017,444,11,0.220338983,0.254237288,84.30212343,0.198170732
2223222,2015,444,2,0.245783133,0.421686747,88.2783272,0.3
2602701,2010,443,0,0.305418719,0.504926108,,
2902644,2016,443,1,0.23255814,0.395348837,85.71711431,0.188340807
2129850,2014,443,11,0.235,0.3475,87.95159009,0.351351351
2222628,2016,443,10,0.236775819,0.350125945,85.41045407,0.226804124
2683201,2015,442,4,0.24009901,0.418316832,88.22906236,0.25257732
2210760,2016,442,3,0.35308642,0.516049383,87.57704294,0.338709677
2233026,2018,442,3,0.268472906,0.406403941,89.45489464,0.419354839
2540486,2011,441,0,0.248704663,0.393782383,,
2231712,2015,441,7,0.28150134,0.44772118,83.04961481,0.189189189
2250228,2015,441,6,0.299212598,0.393700787,91.34767427,0.444444444
2554033,2010,440,10,0.291560102,0.342710997,,
2587084,2011,440,8,0.259067358,0.42746114,,
2267970,2018,440,4,0.261845387,0.463840399,86.83833622,0.329824561
2900482,2016,439,2,0.272727273,0.464646465,90.06976773,0.336
2231880,2017,439,12,0.232189974,0.321899736,83.68680879,0.19
383431,2010,437,0,0.252010724,0.469168901,,
2257074,2018,437,7,0.317948718,0.451282051,87.81277312,0.328313253
2806757,2015,435,4,0.267990074,0.362282878,87.35238722,0.075
2553734,2016,434,8,0.253164557,0.339240506,85.01262885,0.075539568
2817958,2015,434,0,0.250639386,0.391304348,88.90928497,0.244047619
2250054,2015,434,3,0.231552163,0.475826972,88.00429779,0.379310345
2242974,2016,433,10,0.276762402,0.34464752,84.96098787,0.202985075
2820902,2015,432,2,0.268472906,0.39408867,87.56455203,0.205
2256642,2017,432,12,0.248677249,0.343915344,87.69973738,0.35483871
2278584,2018,431,22,0.304347826,0.355498721,84.53780189,0.174089069
2473004,2011,430,8,0.273458445,0.434316354,,
2682143,2013,430,2,0.251948052,0.464935065,82.6536881,0.142857143
2189952,2017,430,1,0.306329114,0.397468354,82.60865161,0.124637681
2401819,2016,429,21,0.242666667,0.301333333,85.72178381,0.098765432
2202774,2016,429,23,0.257894737,0.4,85.84952082,0.330645161
2631911,2011,426,1,0.246031746,0.423280423,,
2740103,2012,426,1,0.243767313,0.379501385,,
2220126,2016,426,1,0.248,0.394666667,86.98407892,0.35443038
2401819,2015,425,33,0.260526316,0.402631579,86.55834764,0.193548387
2627794,2010,425,8,0.287917738,0.380462725,,
2627794,2016,425,6,0.252688172,0.319892473,85.87622546,0.120805369
2225094,2017,425,19,0.328244275,0.465648855,87.09718065,0.346749226
2245404,2015,425,0,0.217630854,0.303030303,84.86991714,0.211764706
2215266,2018,424,14,0.250632911,0.351898734,83.97719804,0.272084806
2504514,2014,422,1,0.22997416,0.382428941,85.74034816,0.125
2209470,2015,422,5,0.256267409,0.3454039,85.20876462,0.192857143
2201946,2014,421,10,0.272980501,0.403899721,83.30779974,0.192307692
2186094,2014,421,12,0.236220472,0.435695538,87.96073537,0.358974359
1640703,2012,419,6,0.263297872,0.345744681,,
2422910,2010,419,23,0.279661017,0.403954802,,
2179146,2016,418,6,0.248691099,0.316753927,83.68443123,0.233333333
2173146,2018,418,0,0.232142857,0.397959184,87.21430822,0.332247557
2237400,2015,417,1,0.306010929,0.459016393,91.05879173,0.477272727
2175996,2016,417,18,0.255014327,0.421203438,85.94277849,0.237623762
2257044,2017,416,2,0.302259887,0.466101695,87.2647597,0.266881029
2177256,2014,416,5,0.272020725,0.435233161,87.35314362,0.222222222
2173686,2017,416,12,0.236111111,0.280555556,85.05740783,0.170068027
1640703,2011,415,5,0.216802168,0.300813008,,
2683201,2012,415,2,0.215258856,0.376021798,,
2224452,2014,414,12,0.221606648,0.315789474,79.89658804,0.111111111
2190510,2015,414,2,0.306493506,0.449350649,88.65365684,0.315789474
2235996,2014,414,0,0.278236915,0.479338843,92.76172389,0.5
2267556,2018,413,5,0.247252747,0.406593407,89.3116662,0.357758621
2188014,2014,413,23,0.254010695,0.304812834,83.55836999,0.210526316
2769359,2013,412,4,0.248677249,0.314814815,,
2557920,2016,411,10,0.313157895,0.373684211,85.60081451,0.094736842
2213880,2017,411,5,0.233333333,0.288888889,86.29726702,0.278195489
2257158,2016,411,2,0.216374269,0.35380117,85.14990365,0.213483146
2818464,2015,409,5,0.304461942,0.459317585,87.55798145,0.169491525
2874193,2015,409,2,0.236914601,0.380165289,89.21085689,0.215189873
2249862,2015,409,2,0.236914601,0.380165289,89.21085689,0.392405063
2234538,2015,408,5,0.286486486,0.348648649,84.85167468,0.20754717
2792290,2016,407,16,0.272486772,0.365079365,85.54488724,0.081784387
2542740,2010,406,7,0.23655914,0.303763441,,
2553734,2015,406,14,0.25203252,0.346883469,82.14732407,0.046153846
2213472,2015,406,20,0.240740741,0.32010582,83.69935441,0.203389831
2627794,2011,405,10,0.303370787,0.398876404,,
2725268,2012,405,2,0.242744063,0.324538259,,
2231070,2014,404,4,0.259562842,0.385245902,81.31336475,0
2207802,2015,404,7,0.25613079,0.343324251,86.69579314,0.262032086
2677750,2013,403,3,0.24929972,0.319327731,79.97980786,0
2724739,2014,402,18,0.25433526,0.384393064,86.31892934,0.119266055
2768255,2013,401,20,0.240223464,0.402234637,,
2680763,2012,400,22,0.244956772,0.334293948,,
2259546,2016,400,14,0.234782609,0.32173913,85.34022273,0.280991736
2235894,2018,399,10,0.254794521,0.378082192,87.39623264,0.326848249
2643273,2012,397,1,0.252173913,0.428985507,,
2688744,2013,397,3,0.257225434,0.338150289,82.25194194,0.019480519
2767611,2014,397,16,0.215976331,0.393491124,84.34447841,0.15
2678785,2013,396,4,0.251428571,0.46,84.6983128,0.121212121
2808298,2015,396,5,0.215116279,0.39244186,88.79961634,0.232758621
2233254,2018,396,2,0.264623955,0.395543175,89.58532015,0.365758755
2539405,2012,395,3,0.332344214,0.397626113,,
2131518,2014,395,3,0.253521127,0.335211268,84.49579501,0.157608696
2553734,2014,394,11,0.254143646,0.367403315,83.65926615,0.083333333
2597733,2011,394,1,0.236263736,0.296703297,,
2225046,2018,394,0,0.228323699,0.416184971,91.99882991,0.488372093
2279076,2018,393,5,0.306179775,0.426966292,85.12101404,0.234693878
2226582,2018,393,3,0.255617978,0.376404494,88.78431378,0.344827586
2257572,2016,393,17,0.282485876,0.344632768,82.85404607,0.109004739
2219256,2014,393,1,0.267806268,0.387464387,86.0757737,0.333333333
2768025,2013,392,1,0.235119048,0.339285714,,
